(theta,phi,r)
(140.0,190.40625,4.523)
(140.0,232.34375,4.820052631578947)
(140.0,232.46875,4.5974615384615385)
(140.0,312.078125,2.7310000000000003)
(140.0,355.203125,4.991333333333333)
(140.0,355.328125,4.204999999999999)
(140.0,355.453125,3.5265)
(140.0,355.578125,3.302)
(141.0,30.625,6.9174375)
(141.0,74.03125,5.099857142857142)
(141.0,74.15625,4.164750000000001)
(141.0,74.28125,3.5344285714285713)
(141.0,74.40625,3.0989999999999998)
(141.0,74.53125,2.871)
(141.0,110.5625,2.4074)
(141.0,110.6875,2.233)
(141.0,110.8125,2.137)
(141.0,111.4375,2.161)
(141.0,153.84375,2.380444444444445)
(141.0,153.96875,2.2180000000000004)
(141.0,154.09375,2.152)
(141.0,189.09375,6.084714285714285)
(141.0,189.21875,5.076)
(141.0,189.34375,4.292000000000001)
(141.0,189.46875,3.5495)
(141.0,189.59375,3.05875)
(141.0,189.71875,2.947)
(141.0,232.546875,4.769545454545454)
(141.0,232.671875,4.6372)
(141.0,312.265625,2.7311250000000005)
(141.0,355.1875,4.9352857142857145)
(141.0,355.3125,4.1566363636363635)
(141.0,355.4375,3.5802)
(141.0,355.5625,3.3070000000000004)
(142.0,57.1875,6.708399999999999)
(142.0,57.3125,5.077999999999999)
(142.0,57.4375,4.278499999999999)
(142.0,74.0625,5.0409999999999995)
(142.0,74.1875,4.0545)
(142.0,74.3125,3.5425)
(142.0,74.4375,3.1796666666666664)
(142.0,74.5625,2.923666666666666)
(142.0,107.984375,3.1903333333333332)
(142.0,108.234375,19.466)
(142.0,108.359375,14.423)
(142.0,108.484375,6.206999999999999)
(142.0,108.609375,17.547)
(142.0,108.984375,2.906)
(142.0,109.109375,19.595)
(142.0,109.234375,3.371)
(142.0,109.359375,19.596)
(142.0,109.484375,3.1369999999999996)
(142.0,109.734375,8.855666666666666)
(142.0,109.984375,18.5075)
(142.0,110.484375,5.589)
(142.0,110.609375,22.485)
(142.0,110.984375,19.595)
(142.0,111.109375,19.596)
(142.0,111.484375,17.547)
(142.0,111.859375,21.973)
(142.0,137.203125,2.1603684210526315)
(142.0,137.328125,2.0906923076923074)
(142.0,154.015625,2.404733333333333)
(142.0,154.140625,2.255142857142857)
(142.0,154.265625,2.1536666666666666)
(142.0,232.765625,4.798545454545455)
(142.0,232.890625,4.6335999999999995)
(142.0,338.65625,3.503857142857143)
(142.0,338.78125,3.0644666666666667)
(142.0,338.90625,2.8816666666666664)
(142.0,339.90625,3.358)
(142.0,355.171875,4.888)
(142.0,355.296875,4.1316)
(142.0,355.421875,3.534636363636363)
(142.0,355.546875,3.339)
(143.0,30.109375,6.967312499999999)
(143.0,73.671875,5.160714285714286)
(143.0,73.796875,4.18625)
(143.0,73.921875,3.6630000000000003)
(143.0,74.046875,3.141666666666667)
(143.0,109.984375,2.3967142857142862)
(143.0,110.109375,2.2186666666666666)
(143.0,112.859375,1.005)
(143.0,153.453125,2.3998888888888894)
(143.0,153.578125,2.2273076923076927)
(143.0,153.703125,2.139)
(143.0,188.515625,6.284)
(143.0,188.640625,5.042714285714287)
(143.0,188.765625,4.253)
(143.0,188.890625,3.5374000000000003)
(143.0,189.015625,3.2485999999999997)
(143.0,232.0625,5.799)
(143.0,232.1875,4.826037037037037)
(143.0,232.3125,4.608499999999999)
(143.0,311.734375,2.801)
(143.0,311.859375,2.7290000000000005)
(143.0,354.9375,4.890142857142856)
(143.0,355.0625,4.2187777777777775)
(143.0,355.1875,3.5780769230769236)
(143.0,355.3125,3.311666666666667)
(144.0,30.875,6.979437499999999)
(144.0,74.0625,5.1193333333333335)
(144.0,74.1875,4.30825)
(144.0,74.3125,3.5196666666666667)
(144.0,74.4375,3.0512222222222225)
(144.0,110.828125,2.395)
(144.0,110.953125,2.2441666666666666)
(144.0,111.078125,2.181)
(144.0,111.703125,2.1529999999999996)
(144.0,113.703125,0.991)
(144.0,153.828125,2.656)
(144.0,153.953125,2.397714285714286)
(144.0,154.078125,2.226666666666667)
(144.0,154.203125,2.1719999999999997)
(144.0,189.359375,6.551666666666667)
(144.0,189.484375,5.1610000000000005)
(144.0,189.609375,4.219)
(144.0,189.734375,3.5418888888888884)
(144.0,189.859375,3.3213333333333335)
(144.0,232.609375,5.91925)
(144.0,232.734375,4.9659)
(144.0,232.859375,4.718999999999999)
(144.0,312.53125,2.7318750000000005)
(144.0,355.1875,4.993333333333333)
(144.0,355.3125,4.208166666666666)
(144.0,355.4375,3.5504545454545453)
(144.0,355.5625,3.2923333333333336)
(145.0,30.578125,7.0138125)
(145.0,73.9375,5.1124285714285715)
(145.0,74.0625,4.236714285714286)
(145.0,74.1875,3.5475)
(145.0,74.3125,3.1083333333333334)
(145.0,74.4375,2.871)
(145.0,110.5,2.403166666666667)
(145.0,110.625,2.2296153846153848)
(145.0,110.75,2.191)
(145.0,113.375,0.991)
(145.0,153.703125,2.5967142857142855)
(145.0,153.828125,2.398)
(145.0,153.953125,2.205181818181818)
(145.0,154.078125,2.216)
(145.0,188.984375,6.4830000000000005)
(145.0,189.109375,5.095)
(145.0,189.234375,4.154333333333334)
(145.0,189.359375,3.466636363636364)
(145.0,189.484375,3.2595)
(145.0,232.390625,6.03042857142857)
(145.0,232.515625,5.029823529411765)
(145.0,232.640625,4.793)
(145.0,312.25,2.7311875000000003)
(145.0,355.078125,4.933)
(145.0,355.203125,4.222499999999999)
(145.0,355.328125,3.5313636363636363)
(145.0,355.453125,3.3349999999999995)
(146.0,31.03125,6.979500000000002)
(146.0,32.65625,6.985)
(146.0,74.0,5.205)
(146.0,74.125,4.221222222222222)
(146.0,74.25,3.460333333333333)
(146.0,74.375,3.022)
(146.0,110.96875,2.169)
(146.0,111.09375,2.3810000000000002)
(146.0,111.21875,2.263615384615385)
(146.0,111.34375,2.187)
(146.0,113.21875,0.959)
(146.0,113.96875,0.943)
(146.0,153.828125,2.5861428571428573)
(146.0,153.953125,2.390333333333333)
(146.0,154.078125,2.213461538461538)
(146.0,154.203125,2.199)
(146.0,154.828125,2.579)
(146.0,189.671875,6.576142857142857)
(146.0,189.796875,5.08825)
(146.0,189.921875,4.142)
(146.0,190.046875,3.566538461538462)
(146.0,190.171875,3.245)
(146.0,232.671875,6.26357142857143)
(146.0,232.796875,5.093999999999999)
(146.0,312.609375,2.7334375)
(146.0,355.09375,4.917571428571428)
(146.0,355.21875,4.1591818181818185)
(146.0,355.34375,3.556090909090909)
(146.0,355.46875,3.3143333333333334)
(147.0,31.75,6.998391304347827)
(147.0,31.875,5.837)
(147.0,33.375,6.8919999999999995)
(147.0,74.59375,5.096333333333334)
(147.0,74.71875,4.286333333333332)
(147.0,74.84375,3.6165555555555553)
(147.0,74.96875,3.0782)
(147.0,75.09375,2.891)
(147.0,111.75,2.3933999999999997)
(147.0,111.875,2.2288571428571426)
(147.0,112.625,2.127)
(147.0,114.625,0.957)
(147.0,154.484375,2.6525)
(147.0,154.609375,2.470538461538462)
(147.0,154.734375,2.2357142857142858)
(147.0,154.859375,2.181)
(147.0,190.359375,7.427)
(147.0,190.484375,6.628428571428572)
(147.0,190.609375,5.111571428571429)
(147.0,190.734375,4.0795)
(147.0,190.859375,3.5853333333333333)
(147.0,190.984375,3.315)
(147.0,233.390625,6.361)
(147.0,233.515625,5.463)
(147.0,313.359375,2.7347499999999996)
(147.0,355.609375,5.011571428571429)
(147.0,355.734375,4.194454545454545)
(147.0,355.859375,3.601599999999999)
(147.0,355.984375,3.346)
(148.0,31.921875,6.9602)
(148.0,33.546875,6.819)
(148.0,74.671875,5.057)
(148.0,74.796875,4.121666666666666)
(148.0,74.921875,3.5166000000000004)
(148.0,75.046875,3.0866666666666673)
(148.0,111.890625,2.3868)
(148.0,112.015625,2.23)
(148.0,112.765625,2.129)
(148.0,114.765625,0.944)
(148.0,154.578125,2.675)
(148.0,154.703125,2.4502857142857146)
(148.0,154.828125,2.234833333333333)
(148.0,154.953125,2.171)
(148.0,190.578125,7.533)
(148.0,190.703125,6.706428571428572)
(148.0,190.828125,5.1049999999999995)
(148.0,190.953125,4.055)
(148.0,191.078125,3.627666666666666)
(148.0,191.203125,3.372)
(148.0,233.375,6.637)
(148.0,233.5,6.62751612903226)
(148.0,313.5,2.7348749999999997)
(148.0,355.640625,5.012714285714287)
(148.0,355.765625,4.279888888888889)
(148.0,355.890625,3.6050000000000004)
(148.0,356.015625,3.3289999999999997)
(149.0,30.859375,7.004000000000001)
(149.0,74.359375,5.120333333333334)
(149.0,74.484375,4.253857142857144)
(149.0,74.609375,3.6045000000000003)
(149.0,74.734375,3.0788181818181823)
(149.0,110.75,2.401545454545454)
(149.0,110.875,2.233857142857143)
(149.0,111.0,2.187)
(149.0,112.5,0.955)
(149.0,112.625,0.955)
(149.0,113.625,0.943)
(149.0,153.984375,2.622)
(149.0,154.109375,2.4134999999999995)
(149.0,154.234375,2.2162857142857137)
(149.0,189.203125,6.421)
(149.0,189.328125,5.245399999999999)
(149.0,189.453125,4.0089999999999995)
(149.0,189.578125,3.554333333333333)
(149.0,189.703125,3.2249999999999996)
(149.0,232.578125,6.091)
(149.0,232.703125,6.786777777777776)
(149.0,234.328125,9.608)
(149.0,312.59375,2.732125)
(149.0,355.609375,4.985285714285715)
(149.0,355.734375,4.138538461538461)
(149.0,355.859375,3.5685)
(149.0,355.984375,3.3260000000000005)
(150.0,31.3125,7.098624999999999)
(150.0,74.421875,5.113666666666666)
(150.0,74.546875,4.242714285714285)
(150.0,74.671875,3.5815)
(150.0,74.796875,3.1861428571428574)
(150.0,74.921875,2.9125)
(150.0,111.25,2.3805384615384617)
(150.0,111.375,2.2184545454545455)
(150.0,112.125,2.167)
(150.0,113.125,0.947)
(150.0,113.25,0.937)
(150.0,154.21875,2.6166666666666663)
(150.0,154.34375,2.4285)
(150.0,154.46875,2.2157692307692307)
(150.0,154.59375,2.159)
(150.0,189.890625,6.6858571428571425)
(150.0,190.015625,5.146)
(150.0,190.140625,4.1781999999999995)
(150.0,190.265625,3.5723333333333334)
(150.0,190.390625,3.3076666666666665)
(150.0,232.859375,6.043)
(150.0,232.984375,6.791631578947367)
(150.0,234.609375,9.690333333333333)
(150.0,312.796875,2.795)
(150.0,312.921875,2.7316451612903223)
(150.0,355.515625,4.949857142857143)
(150.0,355.640625,4.217363636363636)
(150.0,355.765625,3.563333333333333)
(150.0,355.890625,3.293)
(151.0,31.0,7.447)
(151.0,31.125,7.122741935483871)
(151.0,74.4375,5.104333333333334)
(151.0,74.5625,4.210999999999999)
(151.0,74.6875,3.5826666666666664)
(151.0,74.8125,3.1131818181818174)
(151.0,74.9375,2.903)
(151.0,111.09375,2.3964545454545454)
(151.0,111.21875,2.2260666666666666)
(151.0,112.84375,0.945)
(151.0,113.09375,0.961)
(151.0,113.96875,0.947)
(151.0,154.234375,2.607666666666667)
(151.0,154.359375,2.428636363636364)
(151.0,154.484375,2.227)
(151.0,154.609375,2.161)
(151.0,189.640625,6.590714285714286)
(151.0,189.765625,5.143285714285715)
(151.0,189.890625,4.197)
(151.0,190.015625,3.54875)
(151.0,190.140625,3.239)
(151.0,232.71875,13.186)
(151.0,232.84375,8.92)
(151.0,232.96875,6.3926)
(151.0,234.59375,6.748)
(151.0,312.8125,2.7326875)
(151.0,355.609375,4.9912857142857145)
(151.0,355.734375,4.138692307692308)
(151.0,355.859375,3.5438888888888886)
(151.0,355.984375,3.321)
(152.0,31.6875,7.549)
(152.0,31.8125,7.119774193548387)
(152.0,74.5625,5.073333333333333)
(152.0,74.6875,4.1892499999999995)
(152.0,74.8125,3.5307142857142857)
(152.0,74.9375,3.085888888888889)
(152.0,75.0625,2.887)
(152.0,111.734375,2.165)
(152.0,111.859375,2.3693333333333335)
(152.0,111.984375,2.219727272727273)
(152.0,112.109375,2.193)
(152.0,113.734375,0.955)
(152.0,113.859375,0.945)
(152.0,114.109375,0.961)
(152.0,114.734375,0.955)
(152.0,154.46875,2.649)
(152.0,154.59375,2.419571428571429)
(152.0,154.71875,2.2113636363636364)
(152.0,154.84375,2.179)
(152.0,190.53125,7.557)
(152.0,190.65625,6.731857142857142)
(152.0,190.78125,5.13025)
(152.0,190.90625,4.1692857142857145)
(152.0,191.03125,3.5935714285714284)
(152.0,191.15625,3.377)
(152.0,233.140625,13.2465)
(152.0,233.265625,8.696000000000002)
(152.0,233.390625,6.1356666666666655)
(152.0,233.515625,6.091)
(152.0,235.015625,13.348)
(152.0,313.28125,2.81)
(152.0,313.40625,2.7297999999999996)
(152.0,355.59375,5.053666666666667)
(152.0,355.71875,4.254333333333333)
(152.0,355.84375,3.550333333333334)
(152.0,355.96875,3.331)
(153.0,31.34375,7.1648125)
(153.0,74.09375,5.047571428571429)
(153.0,74.21875,4.190142857142858)
(153.0,74.34375,3.6064285714285718)
(153.0,74.46875,3.097222222222222)
(153.0,74.59375,2.9539999999999997)
(153.0,111.34375,2.382454545454546)
(153.0,111.46875,2.231266666666667)
(153.0,114.21875,0.948)
(153.0,153.96875,2.5878)
(153.0,154.09375,2.4570000000000003)
(153.0,154.21875,2.205625)
(153.0,190.0625,6.888666666666666)
(153.0,190.1875,5.2330000000000005)
(153.0,190.3125,4.263999999999999)
(153.0,190.4375,3.64175)
(153.0,190.5625,3.3363333333333336)
(153.0,232.59375,13.2665)
(153.0,232.84375,6.158600000000001)
(153.0,234.46875,11.735666666666667)
(153.0,312.90625,2.7330625)
(153.0,355.046875,4.949666666666666)
(153.0,355.171875,4.2250000000000005)
(153.0,355.296875,3.5328181818181816)
(153.0,355.421875,3.3409999999999997)
(154.0,30.25,7.539)
(154.0,30.375,7.261)
(154.0,73.90625,5.0807142857142855)
(154.0,74.03125,4.275666666666667)
(154.0,74.15625,3.5791999999999993)
(154.0,74.28125,3.068)
(154.0,74.40625,2.927)
(154.0,110.203125,2.495)
(154.0,110.328125,2.3805)
(154.0,110.453125,2.2227333333333332)
(154.0,112.078125,0.947)
(154.0,113.203125,0.935)
(154.0,153.546875,2.5998)
(154.0,153.671875,2.4644285714285714)
(154.0,153.796875,2.2059230769230767)
(154.0,153.921875,2.158333333333333)
(154.0,154.546875,2.403)
(154.0,188.84375,6.553)
(154.0,188.96875,5.1883333333333335)
(154.0,189.09375,4.156428571428572)
(154.0,189.21875,3.584714285714285)
(154.0,231.96875,13.214500000000001)
(154.0,232.09375,8.278999999999998)
(154.0,232.21875,6.466555555555555)
(154.0,233.84375,13.34)
(154.0,311.921875,2.8049999999999997)
(154.0,312.046875,2.726133333333333)
(154.0,355.15625,4.925)
(154.0,355.28125,4.1628181818181815)
(154.0,355.40625,3.508571428571429)
(155.0,31.34375,7.21616129032258)
(155.0,31.46875,6.027)
(155.0,74.625,5.107799999999999)
(155.0,74.75,4.2414444444444435)
(155.0,74.875,3.5387142857142857)
(155.0,75.0,3.0692000000000004)
(155.0,75.125,2.971)
(155.0,111.203125,2.153)
(155.0,111.328125,2.3834)
(155.0,111.453125,2.23975)
(155.0,113.453125,0.957)
(155.0,114.203125,0.955)
(155.0,154.375,2.636)
(155.0,154.5,2.4237692307692305)
(155.0,154.625,2.221615384615384)
(155.0,154.75,2.095)
(155.0,189.96875,6.4155)
(155.0,190.09375,4.753)
(155.0,190.21875,4.463)
(155.0,190.59375,2.7893333333333334)
(155.0,190.84375,2.253)
(155.0,191.59375,3.926)
(155.0,232.890625,13.406)
(155.0,233.015625,8.78)
(155.0,233.140625,6.2072)
(155.0,234.765625,13.316)
(155.0,312.859375,2.821)
(155.0,312.984375,2.730161290322581)
(155.0,355.765625,4.93075)
(155.0,355.890625,4.1717272727272725)
(155.0,356.015625,3.541909090909091)
(155.0,356.140625,3.332)
(156.0,31.46875,7.531)
(156.0,31.59375,7.255666666666667)
(156.0,31.71875,5.695)
(156.0,74.359375,5.021285714285715)
(156.0,74.484375,4.0885)
(156.0,74.609375,3.5529999999999995)
(156.0,74.734375,3.1236666666666664)
(156.0,74.859375,2.878)
(156.0,111.375,2.161)
(156.0,111.625,2.3947777777777772)
(156.0,111.75,2.2375)
(156.0,111.875,2.175)
(156.0,113.5,0.945)
(156.0,113.75,0.938)
(156.0,154.28125,2.665)
(156.0,154.40625,2.420066666666666)
(156.0,154.53125,2.2138888888888895)
(156.0,154.65625,2.1526)
(156.0,190.375,6.3629999999999995)
(156.0,190.5,4.928000000000001)
(156.0,191.0,2.6905)
(156.0,191.125,2.243)
(156.0,191.25,2.333)
(156.0,192.0,3.6749999999999994)
(156.0,232.921875,13.4585)
(156.0,233.046875,8.76)
(156.0,233.171875,6.2184)
(156.0,234.796875,13.357666666666667)
(156.0,313.03125,2.827)
(156.0,313.15625,2.7308064516129034)
(156.0,355.34375,4.956714285714286)
(156.0,355.46875,4.199181818181819)
(156.0,355.59375,3.5465)
(156.0,355.71875,3.283)
(157.0,30.984375,7.632000000000001)
(157.0,31.109375,7.2592307692307685)
(157.0,74.546875,5.078333333333333)
(157.0,74.671875,4.2247142857142865)
(157.0,74.796875,3.5621428571428573)
(157.0,74.921875,3.1208181818181817)
(157.0,75.046875,2.875)
(157.0,111.046875,2.394636363636364)
(157.0,111.171875,2.22775)
(157.0,111.296875,2.159)
(157.0,112.921875,0.959)
(157.0,113.046875,0.931)
(157.0,113.921875,0.959)
(157.0,154.21875,2.5595)
(157.0,154.34375,2.382)
(157.0,154.46875,2.2386363636363638)
(157.0,154.59375,2.1418)
(157.0,155.21875,2.4836666666666667)
(157.0,189.59375,6.2085)
(157.0,190.21875,2.6158888888888887)
(157.0,190.34375,2.549)
(157.0,191.21875,2.27)
(157.0,232.703125,13.53425)
(157.0,232.953125,6.2684)
(157.0,234.578125,10.277000000000001)
(157.0,312.671875,2.807)
(157.0,312.796875,2.7291290322580646)
(157.0,355.703125,5.029666666666667)
(157.0,355.828125,4.2625)
(157.0,355.953125,3.5708333333333333)
(157.0,356.078125,3.331)
(158.0,31.171875,7.732749999999999)
(158.0,31.296875,7.334833333333333)
(158.0,74.015625,5.082142857142857)
(158.0,74.140625,4.219571428571428)
(158.0,74.265625,3.4822499999999996)
(158.0,74.390625,3.098777777777778)
(158.0,74.515625,2.915)
(158.0,111.3125,2.390454545454545)
(158.0,111.4375,2.219705882352941)
(158.0,113.3125,0.931)
(158.0,113.4375,0.947)
(158.0,153.90625,2.6206)
(158.0,154.03125,2.397)
(158.0,154.15625,2.19425)
(158.0,154.28125,2.0984285714285713)
(158.0,154.90625,2.501)
(158.0,189.984375,5.945666666666667)
(158.0,190.109375,5.955)
(158.0,190.609375,2.524)
(158.0,190.734375,2.481)
(158.0,190.859375,2.375)
(158.0,191.609375,2.2796666666666665)
(158.0,232.578125,13.658999999999999)
(158.0,232.828125,6.210400000000001)
(158.0,234.453125,10.759666666666666)
(158.0,312.859375,2.7327500000000007)
(158.0,355.0,4.969)
(158.0,355.125,4.228090909090909)
(158.0,355.25,3.588818181818183)
(158.0,355.375,3.3205)
(159.0,57.53125,6.8165000000000004)
(159.0,57.65625,5.0638571428571435)
(159.0,57.78125,4.2993999999999994)
(159.0,66.734375,4.336)
(159.0,67.234375,2.177)
(159.0,67.734375,2.125)
(159.0,67.984375,2.203)
(159.0,68.234375,2.146)
(159.0,68.359375,4.178)
(159.0,68.484375,6.761666666666667)
(159.0,68.609375,14.339)
(159.0,68.859375,13.064)
(159.0,68.984375,13.064)
(159.0,69.234375,17.4375)
(159.0,69.359375,13.064)
(159.0,69.484375,10.952)
(159.0,69.859375,0.896)
(159.0,70.484375,10.675)
(159.0,70.609375,5.9895)
(159.0,74.25,4.983750000000001)
(159.0,74.375,4.1338)
(159.0,74.5,3.485888888888889)
(159.0,74.625,3.078777777777778)
(159.0,74.75,2.899)
(159.0,137.5625,2.12175)
(159.0,137.6875,2.098166666666667)
(159.0,180.578125,2.567)
(159.0,180.703125,2.6998333333333338)
(159.0,180.828125,2.426272727272728)
(159.0,181.703125,2.405)
(159.0,259.28125,5.671)
(159.0,259.40625,5.103399999999999)
(159.0,259.53125,4.121363636363636)
(159.0,259.65625,3.5352000000000006)
(159.0,339.0,3.5165)
(159.0,339.125,3.070368421052631)
(159.0,339.25,2.856333333333333)
(159.0,340.25,3.319)
(159.0,355.328125,4.90625)
(159.0,355.453125,4.1411999999999995)
(159.0,355.578125,3.5719090909090907)
(159.0,355.703125,3.3043333333333336)
(160.0,31.0,7.697333333333333)
(160.0,31.125,7.49046153846154)
(160.0,73.984375,5.175333333333334)
(160.0,74.109375,4.317666666666667)
(160.0,74.234375,3.5452)
(160.0,74.359375,3.075)
(160.0,74.484375,2.9539999999999997)
(160.0,110.90625,2.159)
(160.0,111.15625,2.395)
(160.0,111.28125,2.2200588235294116)
(160.0,113.40625,0.947)
(160.0,114.03125,0.923)
(160.0,153.875,2.621)
(160.0,154.0,2.318)
(160.0,154.125,2.1735)
(160.0,154.25,2.068)
(160.0,154.875,2.337)
(160.0,189.875,5.53)
(160.0,190.375,2.489)
(160.0,190.5,2.3759230769230766)
(160.0,190.625,2.305)
(160.0,190.75,2.0549999999999997)
(160.0,190.875,1.883)
(160.0,191.375,3.389666666666667)
(160.0,232.75,6.207666666666666)
(160.0,232.875,5.822)
(160.0,312.609375,2.819)
(160.0,312.734375,2.7286129032258066)
(160.0,355.015625,4.973)
(160.0,355.140625,4.2286363636363635)
(160.0,355.265625,3.535428571428571)
(160.0,355.390625,3.285)
(161.0,31.875,7.9034)
(161.0,32.0,7.36809090909091)
(161.0,74.4375,4.910333333333333)
(161.0,74.5625,4.353285714285714)
(161.0,74.6875,3.540111111111111)
(161.0,74.8125,3.0972222222222228)
(161.0,74.9375,2.862)
(161.0,75.9375,5.335)
(161.0,112.109375,2.3855000000000004)
(161.0,112.234375,2.243)
(161.0,112.359375,2.167)
(161.0,112.984375,2.143)
(161.0,114.984375,0.95)
(161.0,154.390625,2.6599999999999997)
(161.0,154.515625,2.4610000000000003)
(161.0,154.640625,2.2470000000000003)
(161.0,154.765625,2.0611818181818182)
(161.0,191.109375,5.3260000000000005)
(161.0,191.609375,2.317)
(161.0,191.734375,2.3824)
(161.0,191.859375,2.257)
(161.0,191.984375,1.825)
(161.0,192.109375,1.867)
(161.0,192.609375,2.1823333333333332)
(161.0,233.34375,6.1895217391304325)
(161.0,233.46875,5.695857142857143)
(161.0,234.96875,6.193)
(161.0,313.328125,2.807)
(161.0,313.453125,2.7328064516129036)
(161.0,355.390625,4.956142857142858)
(161.0,355.515625,4.2318)
(161.0,355.640625,3.5978333333333334)
(161.0,355.765625,3.3056666666666668)
(162.0,31.8125,7.8911999999999995)
(162.0,31.9375,7.438363636363635)
(162.0,74.203125,5.059333333333333)
(162.0,74.328125,4.26075)
(162.0,74.453125,3.513571428571429)
(162.0,74.578125,3.1395)
(162.0,74.703125,2.8976666666666664)
(162.0,136.546875,5.5082)
(162.0,136.671875,21.773)
(162.0,136.921875,21.902)
(162.0,137.046875,3.0715)
(162.0,137.171875,19.6595)
(162.0,137.421875,17.418)
(162.0,137.546875,3.333)
(162.0,137.796875,3.943)
(162.0,137.921875,19.595)
(162.0,138.046875,3.1276666666666664)
(162.0,138.171875,9.346666666666666)
(162.0,138.296875,3.082)
(162.0,138.421875,17.418)
(162.0,138.671875,3.59375)
(162.0,138.796875,2.0962941176470586)
(162.0,139.546875,17.419)
(162.0,139.671875,20.749000000000002)
(162.0,140.421875,19.467)
(162.0,154.234375,2.662)
(162.0,154.359375,2.287)
(162.0,154.484375,2.2218571428571425)
(162.0,154.609375,2.051)
(162.0,155.234375,2.45)
(162.0,233.21875,6.194777777777778)
(162.0,233.34375,5.6129999999999995)
(162.0,313.25,2.791)
(162.0,313.375,2.7328709677419356)
(162.0,355.078125,4.9816666666666665)
(162.0,355.203125,4.208833333333334)
(162.0,355.328125,3.5226666666666673)
(162.0,355.453125,3.343)
(163.0,31.65625,7.8898888888888905)
(163.0,31.78125,7.316142857142856)
(163.0,74.140625,5.147666666666667)
(163.0,74.265625,4.1530000000000005)
(163.0,74.390625,3.5805)
(163.0,74.515625,3.1078)
(163.0,74.640625,2.901)
(163.0,75.640625,4.617)
(163.0,111.90625,2.3767777777777774)
(163.0,112.03125,2.2287894736842104)
(163.0,114.78125,0.961)
(163.0,154.140625,2.673)
(163.0,154.265625,2.4163333333333337)
(163.0,154.390625,2.145)
(163.0,154.515625,2.074636363636364)
(163.0,155.140625,2.4530000000000003)
(163.0,190.875,5.179)
(163.0,191.375,2.335)
(163.0,191.5,2.4505)
(163.0,191.625,2.1486666666666667)
(163.0,191.875,2.177)
(163.0,192.375,1.9989999999999999)
(163.0,233.125,6.084666666666666)
(163.0,233.25,5.481285714285716)
(163.0,313.109375,2.805)
(163.0,313.234375,2.729133333333334)
(163.0,355.0,4.971)
(163.0,355.125,4.198666666666667)
(163.0,355.25,3.5288333333333335)
(163.0,355.375,3.274)
(164.0,31.5,7.874599999999999)
(164.0,31.625,7.825800000000001)
(164.0,33.25,6.259)
(164.0,74.0625,5.157)
(164.0,74.1875,4.177)
(164.0,74.3125,3.546333333333333)
(164.0,74.4375,3.128111111111111)
(164.0,74.5625,2.883)
(164.0,111.484375,2.161)
(164.0,111.734375,2.3711666666666664)
(164.0,111.859375,2.209)
(164.0,113.859375,0.953)
(164.0,154.078125,2.6630000000000003)
(164.0,154.203125,2.649)
(164.0,154.328125,2.1565)
(164.0,154.453125,2.0402500000000003)
(164.0,155.078125,2.285)
(164.0,191.0625,2.8356666666666666)
(164.0,191.3125,2.5909999999999997)
(164.0,191.4375,2.1405)
(164.0,191.5625,1.755)
(164.0,191.6875,1.8395000000000001)
(164.0,191.8125,2.117)
(164.0,192.1875,2.239)
(164.0,233.09375,6.0798)
(164.0,233.21875,5.433363636363636)
(164.0,313.15625,2.7333749999999997)
(164.0,354.96875,4.967)
(164.0,355.09375,4.163307692307693)
(164.0,355.21875,3.591285714285714)
(164.0,355.34375,3.3383333333333334)
(165.0,31.15625,7.943000000000001)
(165.0,31.28125,7.758)
(165.0,74.4375,5.083666666666667)
(165.0,74.5625,4.231)
(165.0,74.6875,3.6278571428571427)
(165.0,74.8125,3.1075454545454546)
(165.0,74.9375,2.837)
(165.0,111.203125,2.3745714285714286)
(165.0,111.328125,2.2014615384615386)
(165.0,111.453125,2.1783333333333332)
(165.0,154.453125,2.1480000000000006)
(165.0,154.578125,2.04925)
(165.0,155.203125,2.311)
(165.0,190.34375,2.907)
(165.0,190.46875,2.915)
(165.0,190.59375,2.3616666666666664)
(165.0,190.71875,2.1630000000000003)
(165.0,190.84375,2.0565)
(165.0,190.96875,1.739)
(165.0,191.09375,1.777)
(165.0,191.46875,1.869)
(165.0,233.03125,5.891000000000001)
(165.0,233.15625,5.283384615384616)
(165.0,312.84375,2.791)
(165.0,312.96875,2.7304838709677424)
(165.0,355.578125,4.971571428571429)
(165.0,355.703125,4.1695)
(165.0,355.828125,3.543909090909091)
(165.0,355.953125,3.332)
(166.0,31.96875,8.090652173913043)
(166.0,32.09375,7.42411111111111)
(166.0,74.8125,5.019)
(166.0,74.9375,4.179571428571429)
(166.0,75.0625,3.546)
(166.0,75.1875,3.0863333333333336)
(166.0,75.3125,2.8440000000000003)
(166.0,112.125,2.3564)
(166.0,112.25,2.228555555555556)
(166.0,112.375,2.171)
(166.0,114.25,0.959)
(166.0,154.9375,2.151666666666667)
(166.0,155.0625,2.042)
(166.0,155.6875,2.361666666666667)
(166.0,191.53125,2.736333333333333)
(166.0,191.65625,2.867)
(166.0,191.78125,2.112)
(166.0,191.90625,2.0813333333333337)
(166.0,192.03125,1.746)
(166.0,192.15625,1.819)
(166.0,192.28125,1.739)
(166.0,192.53125,1.9705)
(166.0,233.59375,5.885000000000001)
(166.0,233.71875,5.269363636363638)
(166.0,234.09375,2.952)
(166.0,313.625,2.7350625)
(166.0,355.734375,4.993857142857143)
(166.0,355.859375,4.1662307692307685)
(166.0,355.984375,3.499363636363636)
